family_id,family_name
100,SmithFamily
101,JohnsonFamily
102,WilliamsFamily
103,BrownFamily
104,JonesFamily
105,GarciaFamily
106,MillerFamily
107,DavisFamily
108,RodriguezFamily
109,MartinezFamily
110,HernandezFamily
111,LopezFamily
112,GonzalezFamily
113,WilsonFamily
114,AndersonFamily
115,ThomasFamily
116,TaylorFamily
117,MooreFamily
118,JacksonFamily
119,MartinFamily
120,LeeFamily
121,PerezFamily
122,ThompsonFamily
123,WhiteFamily
124,HarrisFamily
125,SanchezFamily
126,ClarkFamily
127,RamirezFamily
128,LewisFamily
129,RobinsonFamily
130,WalkerFamily
131,YoungFamily
132,AllenFamily
133,KingFamily
134,WrightFamily
135,ScottFamily
136,TorresFamily
137,NguyenFamily
138,HillFamily
139,FloresFamily
140,GreenFamily
141,AdamsFamily
142,NelsonFamily
